"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TC-02: Login with invalid credentials shows error message","firefox","2026-07-03","skipped","2026-07-03","Login","login.spec.js","",""
"","0","TC-06: Search with an unavailable combination shows no-results message","webkit","2026-07-03","skipped","2026-07-03","Hotel Search","search.spec.js","",""
"","0","TC-10: Full journey - login, search, select, book, confirm, logout","webkit","2026-07-03","skipped","2026-07-03","End-to-End Flow","e2e.spec.js","",""
"","1","TC-02: Login with invalid credentials shows error message","webkit","2026-07-03","skipped","2026-07-03","Login","login.spec.js","",""
"","0","TC-05: Search hotel with multiple rooms returns results","firefox","2026-07-03","skipped","2026-07-03","Hotel Search","search.spec.js","",""
"","0","TC-06: Search with an unavailable combination shows no-results message","firefox","2026-07-03","skipped","2026-07-03","Hotel Search","search.spec.js","",""
"","0","TC-10: Full journey - login, search, select, book, confirm, logout","chromium","2026-07-03","skipped","2026-07-03","End-to-End Flow","e2e.spec.js","",""
"","0","TC-09: Booking confirmation displays a generated order number","chromium","2026-07-03","skipped","2026-07-03","Hotel Booking","booking.spec.js","",""
"","13705","TC-02: Login with invalid credentials shows error message","chromium","2026-07-03","failed","2026-07-03","Login","login.spec.js","",""
"","0","TC-08: Book hotel with valid customer and payment details","webkit","2026-07-03","skipped","2026-07-03","Hotel Booking","booking.spec.js","",""
"","0","TC-09: Booking confirmation displays a generated order number","firefox","2026-07-03","skipped","2026-07-03","Hotel Booking","booking.spec.js","",""
"","0","TC-05: Search hotel with multiple rooms returns results","webkit","2026-07-03","skipped","2026-07-03","Hotel Search","search.spec.js","",""
"","0","TC-08: Book hotel with valid customer and payment details","firefox","2026-07-03","skipped","2026-07-03","Hotel Booking","booking.spec.js","",""
"","0","TC-09: Booking confirmation displays a generated order number","webkit","2026-07-03","skipped","2026-07-03","Hotel Booking","booking.spec.js","",""
"","0","TC-04: Search hotel with valid single-room criteria returns results","firefox","2026-07-03","skipped","2026-07-03","Hotel Search","search.spec.js","",""
"","1","TC-07: Select a hotel from results and continue to booking page","chromium","2026-07-03","skipped","2026-07-03","Hotel Booking","booking.spec.js","",""
"","0","TC-04: Search hotel with valid single-room criteria returns results","webkit","2026-07-03","skipped","2026-07-03","Hotel Search","search.spec.js","",""
"","0","TC-03: Logout redirects back to the login page","firefox","2026-07-03","skipped","2026-07-03","Login","login.spec.js","",""
"","11448","TC-03: Logout redirects back to the login page","chromium","2026-07-03","failed","2026-07-03","Login","login.spec.js","",""
"","0","TC-06: Search with an unavailable combination shows no-results message","chromium","2026-07-03","skipped","2026-07-03","Hotel Search","search.spec.js","",""
"","0","TC-04: Search hotel with valid single-room criteria returns results","chromium","2026-07-03","skipped","2026-07-03","Hotel Search","search.spec.js","",""
"","0","TC-03: Logout redirects back to the login page","webkit","2026-07-03","skipped","2026-07-03","Login","login.spec.js","",""
"","0","TC-01: Login with valid credentials shows welcome message","firefox","2026-07-03","skipped","2026-07-03","Login","login.spec.js","",""
"","0","TC-01: Login with valid credentials shows welcome message","webkit","2026-07-03","skipped","2026-07-03","Login","login.spec.js","",""
"","0","TC-07: Select a hotel from results and continue to booking page","firefox","2026-07-03","skipped","2026-07-03","Hotel Booking","booking.spec.js","",""
"","11766","TC-01: Login with valid credentials shows welcome message","chromium","2026-07-03","failed","2026-07-03","Login","login.spec.js","",""
"","0","TC-08: Book hotel with valid customer and payment details","chromium","2026-07-03","skipped","2026-07-03","Hotel Booking","booking.spec.js","",""
"","0","TC-05: Search hotel with multiple rooms returns results","chromium","2026-07-03","skipped","2026-07-03","Hotel Search","search.spec.js","",""
"","0","TC-07: Select a hotel from results and continue to booking page","webkit","2026-07-03","skipped","2026-07-03","Hotel Booking","booking.spec.js","",""
"","0","TC-10: Full journey - login, search, select, book, confirm, logout","firefox","2026-07-03","skipped","2026-07-03","End-to-End Flow","e2e.spec.js","",""
